item,type,kanji,earn_rate,earning,area,ken,station
海苔だんだん屋,食品,1000万円,2000万円,200%,北海道,北海道,松前
松前漬け屋,食品,1000万円,800万円,80%,北海道,北海道,松前
松前漬け屋,食品,1000万円,800万円,80%,北海道,北海道,松前
スルメイカ漁,水産,1億円,400万円,4%,北海道,北海道,松前
横綱記念館,観光,15億円,3000万円,2%,北海道,北海道,松前
ウニ丼屋,食品,1000万円,1000万円,100%,北海道,北海道,利尻
ウニ丼屋,食品,1000万円,1000万円,100%,北海道,北海道,利尻
利尻ラーメン屋,食品,1000万円,800万円,80%,北海道,北海道,利尻
利尻昆布漁,水産,3億円,2700万円,9%,北海道,北海道,利尻
利尻ウニ漁,水産,5億円,1500万円,3%,北海道,北海道,利尻
牛乳ソフト屋,食品,1000万円,1000万円,100%,北海道,北海道,興部
牛乳ソフト屋,食品,1000万円,1000万円,100%,北海道,北海道,興部
乳牛牧場,農林,6億円,1200万円,2%,北海道,北海道,興部
乳牛牧場,農林,6億円,1200万円,2%,北海道,北海道,興部
乳牛牧場,農林,6億円,1200万円,2%,北海道,北海道,興部
イクラ醤油漬け屋,食品,1000万円,1000万円,100%,北海道,北海道,斜里
小麦畑,農林,5000万円,250万円,5%,北海道,北海道,斜里
シャケ漁,水産,1億円,500万円,5%,北海道,北海道,斜里
シャケ漁,水産,1億円,500万円,5%,北海道,北海道,斜里
シャケ漁,水産,1億円,500万円,5%,北海道,北海道,斜里
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,阿寒
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,阿寒
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,阿寒
豚丼弁当,食品,1000万円,800万円,80%,北海道,北海道,阿寒
もっこり人形屋,観光,1000万円,500万円,50%,北海道,北海道,阿寒
木彫り人形屋,観光,3000万円,750万円,25%,北海道,北海道,阿寒
木彫り人形屋,観光,3000万円,750万円,25%,北海道,北海道,阿寒
ワカサギ漁,水産,1億円,700万円,7%,北海道,北海道,阿寒
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,摩周
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,摩周
マリモようかん屋,食品,1000万円,1000万円,100%,北海道,北海道,摩周
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,摩周
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,摩周
ポークチャップ屋,食品,1000万円,1000万円,100%,北海道,北海道,別海
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,別海
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,別海
乳牛牧場,農林,4億円,1600万円,4%,北海道,北海道,別海
北海シマエビ漁,水産,1億円,300万円,3%,北海道,北海道,別海
札幌ラーメン屋,食品,1000万円,1000万円,100%,北海道,北海道,札幌
農学校クッキー屋,食品,1000万円,800万円,80%,北海道,北海道,札幌
ちくわパン屋,食品,1000万円,500万円,50%,北海道,北海道,札幌
プロ野球チーム,観光,80億円,2億4000万円,3%,北海道,北海道,札幌
家具小売業,商業,133億円,3億9900万円,3%,北海道,北海道,札幌
ジンギスカン屋,食品,5億円,1000万円,2%,北海道,北海道,札幌
生チョコ工場,食品,150億円,3億円,2%,北海道,北海道,札幌
羊ヶ丘ドーム,観光,230億円,4億6000万円,2%,北海道,北海道,札幌
めろんゼリー屋,食品,1000万円,1000万円,100%,北海道,北海道,夕張
めろんゼリー屋,食品,1000万円,1000万円,100%,北海道,北海道,夕張
長いもハンバーグ屋,食品,3000万円,1500万円,50%,北海道,北海道,夕張
夕張メロン畑,農林,3億円,2100万円,7%,北海道,北海道,夕張
夕張メロン畑,農林,3億円,2100万円,7%,北海道,北海道,夕張
夕張メロン畑,農林,3億円,2100万円,7%,北海道,北海道,夕張
キネマ街道,観光,16億円,1600万円,1%,北海道,北海道,夕張
スキー場,観光,30億円,3000万円,1%,北海道,北海道,夕張
牡蠣ラーメン屋,食品,1000万円,1000万円,100%,北海道,北海道,釧路
勝手丼屋,食品,1000万円,500万円,50%,北海道,北海道,釧路
タラバガニ漁船団,水産,10億円,4000万円,4%,北海道,北海道,釧路
サケ・マス漁船団,水産,20億円,8000万円,4%,北海道,北海道,釧路
魚市場,水産,40億円,8000万円,2%,北海道,北海道,釧路
パルプ工場,工業,100億円,2億円,2%,北海道,北海道,釧路
パルプ工場,工業,100億円,2億円,2%,北海道,北海道,釧路
カキめし弁当屋,食品,1000万円,1000万円,100%,北海道,北海道,厚岸
カキめし弁当屋,食品,1000万円,1000万円,100%,北海道,北海道,厚岸
カキ漁,水産,4億円,1600万円,4%,北海道,北海道,厚岸
カキ漁,水産,4億円,1600万円,4%,北海道,北海道,厚岸
カキ漁,水産,4億円,1600万円,4%,北海道,北海道,厚岸
イカめし屋,食品,1000万円,1000万円,100%,北海道,北海道,森
イカめし屋,食品,1000万円,1000万円,100%,北海道,北海道,森
イカめし屋,食品,1000万円,1000万円,100%,北海道,北海道,森
鰊みがき弁当屋,食品,1000万円,1000万円,100%,北海道,北海道,函館
塩ラーメン屋,食品,1000万円,1000万円,100%,北海道,北海道,函館
